
------------------------------------------------------------------------------------
BEATBOX_1.0 -- MPI version date Oct 21 2012 20:31:33 $
execution begin at Tue Oct 23 19:37:22 2012 $
Input file mouse2d_s1s2.bbs without additional arguments $
with options: noappend autostop nodebug verbose nograph profile logname=mouse2d_s1s2.log
def str 0 mouse2d_s1s2$def str iext 45$def int neqn 45$def str V 0$def real Vmin -85$def real Vmax 50$def real Vmid -50$def str f 14$def real fmin 0$def real fmax 1$def real fmid 0.5$def str oi 39$def real oimin 0$def real oimax 1$def real oimid 0.5$def int nx 300$def int ny 300$def int xstim 225$def real Ampl 240$
state anisotropy=0! xmax=302 ymax=302 zmax=1 vmax=46 	Simulation medium (302 x 302 x 1)
	Domain decomposed as (002,002,001).
	0 processors of 4 remain idle.
$
def real ht 1e-05$def real hx 0.1$def real D 0.1$def real second_time 100$def long second_time_t 10000000$def real is_second_time 0$def real Period 120$def real Duration 0.8$def long dt 1000$def long onems 99999$def long twoms 199999$def long tenms 499999$def real begin 0$def real often 0$def real every1ms 0$def real every2ms 0$def real every10ms 0$def real seldom 0$def real stim 0$def real end 0$def real T 0$
k_func when="always" nowhere=1 row0=0! row1=0! col0=0! col1=0! color=15! name="timing" pgm={ 
} $
diff when="always"! nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0 v1=45 row0=0! row1=0! col0=0! col1=0! color=15! name="diff"! D=0.1 hx=0.1 $
k_func when="stim" nowhere=0! x0=0 x1=112 y0=0 y1=301 z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="k_func"! pgm={ 
} $
k_func when="is_second_time" nowhere=0! x0=0 x1=301 y0=1 y1=151 z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="k_func"! pgm={ 
} $
euler when="always"! nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0 v1=44 row0=0! row1=0! col0=0! col1=0! color=15! name="euler"! ht=1e-05 ode="mousevent" par={acap=0.0001534! vmyo=2.584e-05! vjsr=1.2e-07! vnsr=2.098e-06! vss=1.485e-09! kplusa=0.006075! kminusa=0.07125! kplusb=0.00405! kminusb=0.965! kplusc=0.009! kminusc=0.0008! n=4! m=3! nu1=4.5! nu2=1.74e-05! nu3=0.45! kmup=0.5! tautr=20! tauxfer=8! ltrpntot=70! htrpntot=140! kplushtrpn=0.00237! kminushtrpn=3.2e-05! kplusltrpn=0.0327! kminusltrpn=0.0196! cmdntot=50! csqntot=15000! kmcmdn=0.238! kmcsqn=800! cm=1! F=96.5! R=8.314! temp=298! knaca=292.8! kmna=87500! kmca=1380! ksat=0.1! eta=0.35! imaxnak=0.88! kmnai=21000! kmko=1500! ipcamax=1! kmpca=0.5! gcab=0.000367! gna=13! gnab=0.0026! gktof=0.4067! gks=0.00575! gktos=0! gkur=0.16! gkss=0.05! gkr=0.078! kf=0.023761! kb=0.036778! gclca=10! kmcl=10! ecl=-40! gcal=0.1729! kpcmax=0.23324! kpchalf=20! ecal=63! kpcb=0.0005! icalmax=7! ko=5400! nao=140000! cao=1800! IV=@45 ht=1e-05  
} rest=0 
/* Resting state: -82.42 0.115001 0.115001 1299.5 1299.5 11.2684 125.29 0 0.99999 0.000124 0 0 0 0 0 0.999817 0.00016774 1.49102e-05 0 0 0.624646 0.020752 0.000279132 7.13483e-07 0.000153176 6.73345e-07 1.55787e-09 0.0113879 0.34278 14237.1 143720 0.00265563 0.999977 0.000262753 0.000417069 0.998543 0.000417069 0.998543 0.000417069 1 0.998159 0.000992513 0.000641229 0.000175298 3.19129e-05 */$
def real voltage 0$def real voltage2 0$
sample when="often" nowhere=0! x0=5 x1=300! y0=2 y1=300! z0=0 z1=0! v0=0 v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="sample"! result="voltage" $
sample when="often" nowhere=0! x0=151 x1=300! y0=151 y1=300! z0=0 z1=0! v0=0 v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="sample"! result="voltage2" $
k_print when="often" nowhere=1 row0=0! row1=0! col0=0! col1=0! color=15! name="k_print"! append=0 file="mouse2d_s1s2.samples" N=1! list={
 T;
 stim;
 voltage;
  voltage2; 
} valuesep="	" fieldsep=" "! recordsep="
"! $
ppmout when="seldom" nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="ppmout"! append=0! file="ppm/mouse2d_s1s2_%d.ppm" file="ppm/mouse2d_s1s2_%d.ppm",0="ppm/mouse2d_s1s2_0.ppm" r=0 r0=-85 r1=50 g=14 g0=0 g1=1 b=39 b0=0 b1=1 $
stop when="end" nowhere=0! x0=1! x1=300! y0=1! y1=300! z0=0! z1=0! v0=0! v1=0! row0=0! row1=0! col0=0! col1=0! color=15! name="stop"! $
end of input file $
Loop of 10 devices created:
   (0)timing (1)diff (2)k_func (3)k_func (4)euler
   (5)sample (6)sample (7)k_print (8)ppmout (9)stop $
============================ PROFILING DATA ============================
00000058,0.000007,0.003259,0.005752,--------,0.227425,--------,--------,--------,--------,--------
00000059,0.000010,0.003344,0.005781,--------,0.131503,--------,--------,--------,--------,--------
00000060,0.000007,0.003325,0.005788,--------,0.131094,--------,--------,--------,--------,--------
00000061,0.000009,0.003366,0.005748,--------,0.134123,--------,--------,--------,--------,--------
00000062,0.000009,0.003299,0.005791,--------,0.130369,--------,--------,--------,--------,--------
00000063,0.000008,0.003345,0.005790,--------,0.131276,--------,--------,--------,--------,--------
00000064,0.000008,0.003298,0.005791,--------,0.130961,--------,--------,--------,--------,--------
00000065,0.000009,0.003500,0.005766,--------,0.127913,--------,--------,--------,--------,--------
00000066,0.000007,0.003538,0.005764,--------,0.131429,--------,--------,--------,--------,--------
00000067,0.000007,0.003318,0.005777,--------,0.129919,--------,--------,--------,--------,--------
00000068,0.000007,0.003316,0.005790,--------,0.130582,--------,--------,--------,--------,--------
00000069,0.000007,0.003301,0.005769,--------,0.129112,--------,--------,--------,--------,--------
00000070,0.000007,0.003327,0.005779,--------,0.131516,--------,--------,--------,--------,--------
00000071,0.000007,0.003346,0.005773,--------,0.130019,--------,--------,--------,--------,--------
00000072,0.000007,0.003374,0.005778,--------,0.127682,--------,--------,--------,--------,--------
00000073,0.000008,0.003244,0.005613,--------,0.131550,--------,--------,--------,--------,--------
00000074,0.000009,0.003303,0.005609,--------,0.132415,--------,--------,--------,--------,--------
00000075,0.000008,0.003289,0.005586,--------,0.136100,--------,--------,--------,--------,--------
00000076,0.000008,0.003243,0.005596,--------,0.131253,--------,--------,--------,--------,--------
00000077,0.000008,0.003235,0.005606,--------,0.130227,--------,--------,--------,--------,--------
00000078,0.000008,0.003260,0.005602,--------,0.132000,--------,--------,--------,--------,--------
00000079,0.000008,0.003599,0.005623,--------,0.204107,--------,--------,--------,--------,--------
00000080,0.000009,0.003300,0.005600,--------,0.130031,--------,--------,--------,--------,--------
00000081,0.000008,0.003249,0.005612,--------,0.162729,--------,--------,--------,--------,--------
00000082,0.003956,0.006214,0.005639,--------,0.151935,--------,--------,--------,--------,--------
00000083,0.000009,0.003246,0.005626,--------,0.137712,--------,--------,--------,--------,--------
00000084,0.000034,0.003313,0.005590,--------,0.141310,--------,--------,--------,--------,--------
00000085,0.000009,0.003236,0.005606,--------,0.134418,--------,--------,--------,--------,--------
00000086,0.000008,0.003260,0.005602,--------,0.140392,--------,--------,--------,--------,--------
00000087,0.000008,0.003283,0.005615,--------,0.136282,--------,--------,--------,--------,--------
00000088,0.000008,0.003303,0.005592,--------,0.159576,--------,--------,--------,--------,--------
00000089,0.000010,0.003260,0.005595,--------,0.135384,--------,--------,--------,--------,--------
00000090,0.000008,0.003274,0.005607,--------,0.129898,--------,--------,--------,--------,--------
00000091,0.000009,0.003273,0.005613,--------,0.137028,--------,--------,--------,--------,--------
00000092,0.000008,0.003308,0.005579,--------,0.144715,--------,--------,--------,--------,--------
00000093,0.000009,0.003206,0.005612,--------,0.135972,--------,--------,--------,--------,--------
00000094,0.000008,0.003268,0.005592,--------,0.154753,--------,--------,--------,--------,--------
00000095,0.000011,0.003192,0.005593,--------,0.136390,--------,--------,--------,--------,--------
00000096,0.000008,0.003303,0.005589,--------,0.139980,--------,--------,--------,--------,--------
00000097,0.000009,0.003284,0.005606,--------,0.135939,--------,--------,--------,--------,--------
00000098,0.000008,0.003302,0.005624,--------,0.138804,--------,--------,--------,--------,--------
00000099,0.000009,0.005239,0.005600,--------,0.136955,--------,--------,--------,--------,--------
00000100,0.000008,0.003322,0.005584,--------,0.135462,--------,--------,--------,--------,--------
00000101,0.000008,0.006932,0.005629,--------,0.153334,--------,--------,--------,--------,--------
00000102,0.000010,0.003308,0.005578,--------,0.141874,--------,--------,--------,--------,--------
00000103,0.000014,0.003211,0.005609,--------,0.135681,--------,--------,--------,--------,--------
00000104,0.000008,0.003288,0.005609,--------,0.136260,--------,--------,--------,--------,--------
00000105,0.000008,0.006947,0.005632,--------,0.135169,--------,--------,--------,--------,--------
00000106,0.000008,0.003245,0.005592,--------,0.136630,--------,--------,--------,--------,--------
00000107,0.000008,0.003322,0.005623,--------,0.141354,--------,--------,--------,--------,--------
00000108,0.000009,0.003261,0.005610,--------,0.148464,--------,--------,--------,--------,--------
00000109,0.000010,0.007167,0.005643,--------,0.136324,--------,--------,--------,--------,--------
00000110,0.000008,0.003262,0.005587,--------,0.135754,--------,--------,--------,--------,--------
00000111,0.000008,0.003232,0.005604,--------,0.143096,--------,--------,--------,--------,--------
00000112,0.000009,0.003305,0.005582,--------,0.135732,--------,--------,--------,--------,--------
00000113,0.000008,0.003238,0.005596,--------,0.141351,--------,--------,--------,--------,--------
00000114,0.000010,0.003296,0.005606,--------,0.136100,--------,--------,--------,--------,--------
00000115,0.000008,0.003289,0.005625,--------,0.151333,--------,--------,--------,--------,--------
00000116,0.000010,0.003298,0.005586,--------,0.135867,--------,--------,--------,--------,--------
00000117,0.000009,0.003231,0.005612,--------,0.141833,--------,--------,--------,--------,--------
